#CGI
#yaml:
#    date: 2023-12-06 13:45:46
#    transit_version: v1.0.7
#    app_or_command_line: app
#    console_command: transit 
#    stats: {}
#    parameters:
#       frac_abund_file: /Users/jeffhykin/repos/transit2/cgi_output.abundances.tsv
#    
#Significant Interactions	Orf	Gene	Nobs	intercept	coefficient sgRNA_strength	coefficient concentration dependence	pval intercept	pval pred_logFC	pval concentration dependence	qval concentration dependence	Z
0	RVBD2899c	fdhD	9	0.6300666148146283	0.16985569623065527	-0.054460470164991774	1.5700852032795429e-13	6.475196942973461e-37	0.003784601158920621	0.008896356435522347	-0.35728724098155173
0	RVBD0500B	RVBD0500B	1	-6.647772353353746	0.9217745214525344	1.8416108611551672e-05	0.0005292883742554533	1.0	1.0	1.0	-0.004400054073642976
0	RVBD1375	RVBD1375	6	0.5766662549357963	0.17632691713230375	-0.07163558704773701	1.0938879635930014e-07	2.4562205142001343e-22	0.0056259309821527475	0.012683573099898178	-0.4685391239794458
0	RVBD3302c	glpD2	159	-0.13712077102022086	0.07268272622132801	-0.06834491151713049	9.625821994646336e-05	0.0	1.2087479133859754e-15	9.742653522321428e-15	-0.4472237610847187
0	RVBD3584	lpqE	6	0.9889215449282398	0.7249877283423876	-0.04637699606262089	2.148092929255525e-10	1.2654985216597878e-07	0.13190077998330815	0.19854226687607238	-0.3049265076489626
0	RVBD3486	RVBD3486	9	1.204863212407989	0.1213717886997602	0.06634572990110471	6.700326522797437e-10	1.9683928847767265e-10	0.1650218684507644	0.23840443782649942	0.42523536581804444
0	RVBD2960c	RVBD2960c	7	1.2168945317069926	0.043500377786386636	0.06005055926630545	4.3675812726444433e-29	0.5957466480261238	0.0012955245455102695	0.003439339750522973	0.3844583747969199
0	RVBD2632c	RVBD2632c	4	1.246414016334417	0.3137441098581255	0.0874136220219219	2.715490346752748e-22	0.1815018633513384	1.9114714981410828e-05	7.033795393891523e-05	0.5617027147880024
0	RVBD2937	drrB	9	0.8292552882147899	0.41990132124974944	-0.04413973004194914	7.146025892580077e-21	2.6799316762643795e-09	0.017732932981245415	0.03506482618022077	-0.29043460874276117
0	RVBD3009c	gatB	134	0.44293305813803674	0.11463415950075279	-0.10467607617821371	1.923305987514665e-43	0.0	1.803100676031391e-35	3.3574402402769696e-34	-0.6825590142679276
0	RVBD2947c	pks15	12	1.0724262851921424	0.25873510437454483	0.012120246083632569	4.757855181087866e-46	9.215522334375674e-32	0.3667099108765902	0.46307920299706307	0.07398959425498303
0	RVBD0468	fadB2	6	0.7897349343532991	0.1384497295236699	-0.027432478149083374	7.26145967913429e-10	4.7559561723918235e-33	0.34522809291690204	0.4424816410808731	-0.18221332294360715
0	RVBD2270	lppN	7	1.536131112956999	0.03840835287615744	0.13664125963752127	6.093583993977467e-25	0.5191919408877063	2.8336139394514687e-06	1.147713521095046e-05	0.8805749191323848
0	RVBD2387	RVBD2387	20	0.9606707501596926	0.46938063493639204	-0.016874405900337487	1.4790481307516616e-32	1.5624525855429882e-17	0.35256834627942424	0.4493123855310026	-0.11382337098462848
0	RVBD2063	mazE7	4	2.67326628561913	0.57976069046948	0.224445246366383	1.4061639051966033e-13	1.0659609109544128e-17	0.00042712553669283507	0.0012589812119687728	1.449325567235492
0	RVBD0241c	htdX	6	1.0219472270423409	0.2510559216746315	-0.0029257756673798157	1.0418452767144527e-28	3.9172363822658834e-15	0.8165447719373311	0.8647032840263154	-0.02347106716904843
0	RVBD2262c	RVBD2262c	8	0.9381115421668448	0.2166928950184416	-0.021325988335061954	1.0943344621329618e-12	6.878543844509126e-24	0.477458357743222	0.5758133477790821	-0.1426585126354542
0	RVBD2294	RVBD2294	14	1.1565745823134512	0.511899833875573	0.03591316113447961	2.1176327275771393e-39	6.3300147091434345e-09	0.041355209682996025	0.07408937788196437	0.22810828931172236
-1	RVBD2672	RVBD2672	8	-0.8870687053411396	0.11114447146817866	-0.42998326846385104	3.5528257058257595e-11	9.229575887807159e-06	7.047843444067918e-24	8.563875024785851e-23	-2.7897375529417485
0	RVBD1039c	PPE15	6	1.5631253797928761	-1.1773341466608909	0.12283719930631337	1.9746603536134817e-25	5.5172589386030886e-05	9.499406830752558e-06	3.607801158950594e-05	0.7911590673889675
0	RVBD1122	gnd2	73	0.9861400836503285	0.2155007274492679	0.009273182080182497	9.191393632789078e-117	1.6476400144447048e-230	0.3437057192535674	0.44109266204143205	0.05554772666469294
0	RVBD1794	RVBD1794	73	0.9388579741559493	0.10553516363964349	0.06571174118655349	1.8186785914661862e-120	1.0482334879717055e-179	2.1933447910879143e-13	1.5503748242101216e-12	0.4211287015796137
0	RVBD0708	rplP	23	0.9035260483205099	0.0880804207250288	0.03832456781645676	7.495513300409436e-16	1.4723523065911908e-95	0.15442650743102143	0.22552774614653892	0.2437281849942478
0	RVBD3614c	espD	6	0.8370084094037142	0.2358715391521688	-0.04063646317906769	5.601089513924466e-17	2.4449307644193444e-23	0.04428600948760923	0.07874373570254833	-0.2677421847085912
0	RVBD2923c	RVBD2923c	5	1.3655076012717542	0.6467729072419537	0.08123403200599583	1.0025438365085237e-14	0.008931894596451415	0.015352898336209479	0.030859248929652434	0.5216743976522138
0	RVBD1910c	RVBD1910c	5	1.2340576424464498	0.26675341816343134	0.07304578330595889	8.857925858384733e-18	0.02452557956842701	0.006069898152334933	0.01357038931000061	0.4686349864765407
0	RVBD2751	RVBD2751	5	0.8244214929611182	0.3423305359931998	-0.011571416614903594	1.4238350663590291e-21	2.475916821924737e-11	0.40989135001082944	0.5091361981913392	-0.07947323831596051
0	RVBD2562	RVBD2562	7	1.2910944406901732	0.5512227034731612	0.06290995899989721	1.0560766639894613e-15	0.0011699834370696958	0.07085988783169377	0.11801178834744196	0.40298014712473146
0	RVBD6010	tRNA-Glu	5	-0.8395232476331911	0.021484638904142653	0.003146093974278945	5.429307901538311e-09	0.00010041374902316591	0.8905929748035519	0.9217614371229763	0.015859490844849295
0	RVBD0419	lpqM	11	1.4174417726297825	0.06401217166119211	0.10986226985832526	1.7556619143420037e-49	0.3047808639178282	3.319878807423184e-11	2.03545008589269e-10	0.707113914001762
0	RVBD0935	pstC1	6	1.5000549602527795	0.20291551255763135	0.10390487070388288	2.872676828298287e-23	6.496744950249402e-23	0.00023356944479069357	0.0007231842239785755	0.6685248389912961
0	RVBD2412	rpsT	19	1.7524706586829086	0.1420265116099024	0.16602117054389998	3.898726334042253e-43	2.799527741420535e-77	1.2925364977313104e-09	7.0921989002391954e-09	1.0708834004638117
0	RVBD2307c	RVBD2307c	5	1.4351243501637831	0.2664120326998694	0.11252306331862866	5.133128395158809e-21	0.0009617164333971388	3.720704994373467e-05	0.00013173129830431411	0.7243492134613324
0	RVBD3830c	RVBD3830c	11	1.0429031221350136	0.24031921879792484	-0.013728096213895542	7.125360519441657e-26	1.4447933468358747e-34	0.5015780203473768	0.5986192278448514	-0.09344313837830273
0	RVBD0285	PE5	9	2.399278205204957	0.17808970616525632	0.2943086914424034	6.723848494815633e-22	2.8971865683730667e-25	1.0937645846269594e-07	5.073957507923449e-07	1.9018662905673784
0	RVBD0510	hemC	49	0.3827206125934245	0.1151144040739054	-0.06329635019452762	2.0828776870367446e-15	1.3797424045687668e-188	1.7381803296068384e-07	7.926259961086966e-07	-0.41452168648433124
0	RVBD0964c	RVBD0964c	6	1.5500909854457365	-0.2027306932361035	0.14482842429508497	5.04393174951776e-14	0.47623117961113326	0.0010558904143538825	0.0028655811380103344	0.9336073084189365
0	RVBD1357c	RVBD1357c	11	1.0709899574866935	-0.33282304002291996	0.032329966990595156	9.290128421271797e-34	0.025832156991323612	0.0677726885672055	0.11357573059054188	0.20489813601985987
0	RVBD3252c	alkB	8	1.3402194364195603	-0.015278010204652498	0.09852646384253447	7.888978724814214e-32	0.8438564554102449	2.121433110518783e-06	8.74221718289605e-06	0.6336861886962907
0	RVBD1551	plsB1	19	0.928636195130887	0.23319544502724943	-0.01821698338391139	1.6299288108567367e-37	1.9200572370005706e-52	0.25143094163752183	0.3384388377731301	-0.12251992158966267
0	RVBD3463	RVBD3463	5	1.0379894772053633	0.4263008012629388	0.009631413464079492	1.547055434243074e-13	8.796752821230667e-15	0.7407044061165358	0.8056011685778007	0.05786817177604592
